Creare avion nou,2023-05-21 13:39:50
Creare bilet nou,2023-05-21 13:40:11
Creare persoana noua,2023-05-21 13:41:01
Creare zbor nou,2023-05-21 13:41:40
Calculul consumului de kerosen pentru un avion creat,2023-05-21 13:46:21
Afisare persoana,2023-05-21 13:47:10
Afisare bilet,2023-05-21 13:47:15
Afisare zbor,2023-05-21 13:47:20
Afisare avion,2023-05-21 13:47:50



